Branch,Avg CTC (in LPA)
Bio-Technology,10.49
Civil Engineering,10.21
Computer Engineering,23.70
Electrical Engineering,15.44
Electronics and Communication Engineering,18.32
Engineering Physics,12.76
Environmental Engineering,11.74
Information Technology,25.22
Mathematics and Computing,20.71
Mechanical Engineering,11.23
Mechanical Engineering with Specialization in Automotive,11.05
Polymer Science and Chemical Technology,10.27
Production and Industrial Engineering,12.32
Software Engineering,20.60
