Branch,Max CTC (in LPA)
,
Bio-Technology,15
,
Civil Engineering,13.7
,
Computer Engineering,112
,
Electrical Engineering,56
,
Electronics and Communication Engineering,32
,
Engineering Physics,15.63
,
Environmental Engineering,30
,
Information Technology,107
,
Mathematics and Computing,43
,
Mechanical Engineering,30
,
Mechanical Engineering with Specialization in Automotive,11.5
,
Polymer Science and Chemical Technology,15
,
Production and Industrial Engineering,12.57
,
Software Engineering,112
