Branch,Max CTC (in LPA)
Bio-Technology,27.55
Civil Engineering,17.00
Computer Engineering,184.00
Electrical Engineering,112.00
Electronics and Communication Engineering,64.23
Engineering Physics,19.00
Environmental Engineering,17.00
Information Technology,90.97
Mathematics and Computing,64.23
Mechanical Engineering,109.00
Mechanical Engineering with Specialization in Automotive,25.00
Polymer Science and Chemical Technology,22.00
Production and Industrial Engineering,22.00
Software Engineering,109.00
